,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
overlap,0.523,0.524,0.692,1.336,0.001,0.001,0.355,0.501,0.524,0.002,0.001,0.275,0.002
eskin,0.522,0.557,0.692,1.251,0.000,0.000,0.386,0.500,0.561,0.000,0.000,0.314,0.000
of,0.591,0.575,0.674,1.206,0.028,0.028,0.403,0.517,0.579,0.033,0.028,0.327,0.034
iof,0.522,0.516,0.692,1.353,0.001,0.001,0.347,0.500,0.516,0.000,0.000,0.266,0.000
goodall1,0.570,0.533,0.679,1.308,0.020,0.020,0.363,0.510,0.534,0.019,0.020,0.280,0.019
goodall2,0.532,0.502,0.690,1.381,0.003,0.003,0.335,0.502,0.502,0.004,0.003,0.251,0.004
goodall3,0.555,0.515,0.685,1.353,0.011,0.011,0.346,0.506,0.515,0.012,0.010,0.262,0.012
goodall4,0.559,0.510,0.685,1.363,0.011,0.011,0.343,0.507,0.510,0.013,0.011,0.257,0.013
lin,0.529,0.553,0.688,1.258,0.007,0.007,0.382,0.502,0.556,0.003,0.006,0.308,0.003
lin1,0.522,0.562,0.691,1.236,0.001,0.001,0.391,0.500,0.566,-0.001,0.001,0.321,-0.001
s2,0.522,0.509,0.692,1.368,0.000,0.000,0.341,0.500,0.509,0.000,0.000,0.259,0.000
