,DB,S,C,BCV,CUT,MOD,DUNN
overlap,3.300,0.086,0.330,1.106,1.041,0.113,0.578
eskin,2.851,0.072,0.384,1.591,1.041,0.074,0.344
of,2.796,0.098,0.317,1.591,1.043,0.074,0.343
iof,3.077,0.098,0.296,1.017,1.048,0.123,0.674
goodall1,2.983,0.073,0.395,1.153,1.049,0.108,0.532
goodall2,2.764,0.111,0.281,0.887,1.061,0.140,1.051
goodall3,3.007,0.084,0.359,0.993,1.052,0.126,0.703
goodall4,3.062,0.088,0.342,0.942,1.052,0.133,0.817
lin,3.303,0.084,0.330,1.455,1.035,0.083,0.386
lin1,3.241,0.091,0.305,1.609,1.034,0.073,0.341
s2,3.002,0.105,0.272,0.947,1.052,0.132,0.804
