,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
overlap,0.522215269,0.667404792,0.692159819,0.692159819,1.28E-15,1.28E-15,0.500830851,0.500830851,0.707694038,0,1.28E-15,0.500830851,
eskin,0.522215269,0.667404792,0.692159819,0.692159819,1.28E-15,1.28E-15,0.500830851,0.500830851,0.707694038,0,1.28E-15,0.500830851,
of,0.52252816,0.667284726,0.691928666,0.694535278,0.000665192,0.000665192,0.500695639,0.500858859,0.707493101,5.82E-05,4.18E-05,0.500531964,0.001161569
iof,0.522215269,0.667404792,0.692159819,0.692159819,1.28E-15,1.28E-15,0.500830851,0.500830851,0.707694038,0,1.28E-15,0.500830851,
goodall1,0.522215269,0.667404792,0.692159819,0.692159819,1.28E-15,1.28E-15,0.500830851,0.500830851,0.707694038,0,1.28E-15,0.500830851,
goodall2,0.522215269,0.667404792,0.692159819,0.692159819,1.28E-15,1.28E-15,0.500830851,0.500830851,0.707694038,0,1.28E-15,0.500830851,
goodall3,0.522215269,0.667404792,0.692159819,0.692159819,1.28E-15,1.28E-15,0.500830851,0.500830851,0.707694038,0,1.28E-15,0.500830851,
goodall4,0.548,0.659,0.673,0.772,0.047,0.047,0.491,0.504,0.693,0.007,0.047,0.478,0.017
lin,0.539,0.515,0.690,1.356,0.004,0.004,0.347,0.503,0.515,0.006,0.003,0.264,0.006
lin1,0.533,0.664,0.684,0.734,0.021,0.021,0.497,0.502,0.701,0.002,0.020,0.491,0.008
s2,0.535,0.510,0.689,1.364,0.005,0.005,0.342,0.502,0.510,0.005,0.004,0.259,0.005
