,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
overlap,0.890,0.811,0.291,0.550,0.594,0.594,0.682,0.804,0.811,0.609,0.594,0.419,0.610
eskin,0.557,0.519,0.685,1.344,0.012,0.012,0.350,0.507,0.519,0.013,0.012,0.266,0.013
of,0.890,0.811,0.291,0.550,0.594,0.594,0.682,0.804,0.811,0.609,0.594,0.419,0.610
iof,0.894,0.815,0.304,0.583,0.571,0.571,0.687,0.810,0.815,0.620,0.571,0.418,0.621
goodall1,0.890,0.811,0.291,0.550,0.594,0.594,0.682,0.804,0.811,0.609,0.594,0.419,0.610
goodall2,0.890,0.811,0.291,0.550,0.594,0.594,0.682,0.804,0.811,0.609,0.594,0.419,0.610
goodall3,0.890,0.811,0.291,0.550,0.594,0.594,0.682,0.804,0.811,0.609,0.594,0.419,0.610
goodall4,0.899,0.819,0.320,0.632,0.541,0.541,0.694,0.818,0.820,0.635,0.541,0.414,0.635
lin,0.887,0.803,0.330,0.639,0.532,0.532,0.671,0.799,0.804,0.598,0.532,0.411,0.599
lin1,0.626,0.591,0.653,1.153,0.064,0.064,0.420,0.532,0.596,0.063,0.063,0.339,0.066
s2,0.731,0.662,0.506,0.837,0.309,0.309,0.495,0.606,0.669,0.212,0.309,0.386,0.225
