,DB,S,C,BCV,CUT,MOD,DUNN
overlap,1.816,0.225,0.244,0.887,1.123,0.140,0.749
eskin,6.022,0.029,0.498,1.102,1.027,0.113,0.597
of,1.816,0.225,0.244,0.887,1.123,0.140,0.749
iof,1.766,0.235,0.222,0.843,1.129,0.147,0.829
goodall1,1.816,0.225,0.244,0.887,1.123,0.140,0.749
goodall2,1.816,0.225,0.244,0.887,1.123,0.140,0.749
goodall3,1.816,0.225,0.244,0.887,1.123,0.140,0.749
goodall4,1.970,0.203,0.260,0.821,1.112,0.151,0.976
lin,1.769,0.236,0.220,0.829,1.130,0.149,0.866
lin1,1.946,0.192,0.297,1.484,1.081,0.081,0.365
s2,1.372,0.250,0.244,1.534,1.121,0.078,0.343
