,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
overlap,0.518,0.667,0.693,0.693,0.000,0.000,0.501,0.501,0.708,0.000,0.000,0.501,0.000
eskin,0.518,0.667,0.693,0.693,0.000,0.000,0.501,0.501,0.708,0.000,0.000,0.501,0.000
of,0.518,0.635,0.691,0.945,0.003,0.003,0.465,0.500,0.659,-0.001,0.003,0.435,-0.001
iof,0.518,0.667,0.693,0.693,0.000,0.000,0.501,0.501,0.708,0.000,0.000,0.501,0.000
goodall1,0.518,0.667,0.693,0.693,0.000,0.000,0.501,0.501,0.708,0.000,0.000,0.501,0.000
goodall2,0.518,0.667,0.693,0.693,0.000,0.000,0.501,0.501,0.708,0.000,0.000,0.501,0.000
goodall3,0.518,0.667,0.693,0.693,0.000,0.000,0.501,0.501,0.708,0.000,0.000,0.501,0.000
goodall4,0.522,0.530,0.691,1.320,0.003,0.003,0.360,0.501,0.531,0.002,0.003,0.281,0.002
lin,0.522,0.665,0.689,0.714,0.009,0.009,0.499,0.501,0.705,0.001,0.009,0.496,0.004
lin1,0.741,0.616,0.571,1.143,0.175,0.175,0.445,0.616,0.616,0.232,0.175,0.308,0.232
s2,0.557,0.510,0.686,1.367,0.009,0.009,0.342,0.506,0.510,0.013,0.009,0.257,0.013
