,C,BCV,CUT,MOD,DUNN,DB,S
overlap,1.000,10000.000,10000.000,10000.000,0.000,10000.000,0.000
eskin,1.000,10000.000,10000.000,10000.000,0.000,10000.000,0.000
of,0.402,5.682,1.008,0.011,0.089,5.489,0.130
iof,1.000,10000.000,10000.000,10000.000,0.000,10000.000,0.000
goodall1,1.000,10000.000,10000.000,10000.000,0.000,10000.000,0.000
goodall2,1.000,10000.000,10000.000,10000.000,0.000,10000.000,0.000
goodall3,1.000,10000.000,10000.000,10000.000,0.000,10000.000,0.000
goodall4,0.452,1.213,1.017,0.102,0.512,5.448,0.045
lin,0.171,62.512,1.006,0.000,0.008,0.858,0.429
lin1,0.342,0.857,1.077,0.145,1.145,2.473,0.134
s2,0.432,0.961,1.027,0.130,0.884,4.952,0.060
