,DB,S,C,BCV,CUT,MOD,DUNN
euclidean,1.106,0.284,0.083,0.659,6.480,0.140,0.473
canberra,1.106,0.284,0.083,0.659,6.480,0.140,0.473
minkowski,1.106,0.284,0.083,0.659,6.480,0.140,0.473
correlation,1.106,0.284,0.083,0.659,6.480,0.140,0.473
sqeuclidean,1.106,0.284,0.083,0.659,6.480,0.140,0.473
cosine,1.106,0.284,0.083,0.659,6.480,0.140,0.473
braycurtis,1.106,0.284,0.083,0.659,6.480,0.140,0.473
manhattan,1.106,0.284,0.083,0.659,6.480,0.140,0.473
chebyshev,1.106,0.284,0.083,0.659,6.480,0.140,0.473
mahalanobis,1.106,0.284,0.083,0.659,6.480,0.140,0.473
