,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.686,0.612,0.764,1.436,0.599,0.599,0.440,0.852,0.614,0.521,0.598,0.116,0.525
mahalanobis,0.714,0.574,0.669,1.335,0.636,0.636,0.402,0.850,0.574,0.483,0.635,0.101,0.483
canberra,0.593,0.540,0.820,1.490,0.577,0.577,0.370,0.823,0.543,0.432,0.576,0.104,0.435
correlation,0.637,0.565,0.852,1.655,0.543,0.543,0.394,0.839,0.567,0.467,0.543,0.105,0.469
sqeuclidean,0.694,0.602,0.775,1.468,0.591,0.591,0.431,0.850,0.604,0.510,0.590,0.113,0.513
cosine,0.656,0.581,0.831,1.627,0.552,0.552,0.409,0.846,0.582,0.487,0.552,0.107,0.488
braycurtis,0.778,0.641,0.651,1.355,0.636,0.636,0.472,0.881,0.642,0.570,0.636,0.106,0.570
euclidean,0.686,0.612,0.763,1.435,0.599,0.599,0.441,0.852,0.614,0.522,0.599,0.116,0.525
cityblock,0.770,0.628,0.627,1.276,0.654,0.654,0.457,0.873,0.628,0.551,0.654,0.107,0.551
chebyshev,0.687,0.592,0.820,1.598,0.559,0.559,0.420,0.851,0.593,0.501,0.559,0.108,0.502
