,DB,S,C,BCV,CUT,MOD,DUNN
minkowski,1.261,0.290,0.063,0.771,6.468,0.137,1.148
mahalanobis,1.389,0.246,0.080,0.517,6.479,0.129,2.251
canberra,1.516,0.240,0.087,0.674,6.441,0.146,0.611
correlation,1.291,0.274,0.067,0.591,6.463,0.134,1.395
sqeuclidean,1.243,0.280,0.069,0.649,6.465,0.136,1.312
cosine,1.265,0.277,0.070,0.643,6.462,0.133,1.788
braycurtis,1.438,0.232,0.083,0.508,6.484,0.127,4.170
euclidean,1.261,0.290,0.063,0.873,6.468,0.137,1.149
cityblock,1.373,0.249,0.081,0.496,6.487,0.128,2.987
chebyshev,1.291,0.278,0.071,0.601,6.464,0.132,1.732
