,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
euclidean,0.638,0.557,0.654,1.275,0.001,0.001,0.386,0.510,0.558,0.009,0.001,0.309,0.009
canberra,0.638,0.557,0.654,1.275,0.001,0.001,0.386,0.510,0.558,0.009,0.001,0.309,0.009
minkowski,0.638,0.557,0.654,1.275,0.001,0.001,0.386,0.510,0.558,0.009,0.001,0.309,0.009
correlation,0.638,0.557,0.654,1.275,0.001,0.001,0.386,0.510,0.558,0.009,0.001,0.309,0.009
sqeuclidean,0.638,0.557,0.654,1.275,0.001,0.001,0.386,0.510,0.558,0.009,0.001,0.309,0.009
cosine,0.638,0.557,0.654,1.275,0.001,0.001,0.386,0.510,0.558,0.009,0.001,0.309,0.009
braycurtis,0.638,0.557,0.654,1.275,0.001,0.001,0.386,0.510,0.558,0.009,0.001,0.309,0.009
manhattan,0.638,0.557,0.654,1.275,0.001,0.001,0.386,0.510,0.558,0.009,0.001,0.309,0.009
chebyshev,0.638,0.557,0.654,1.275,0.001,0.001,0.386,0.510,0.558,0.009,0.001,0.309,0.009
mahalanobis,0.638,0.557,0.654,1.275,0.001,0.001,0.386,0.510,0.558,0.009,0.001,0.309,0.009
