,DB,S,C,BCV,CUT,MOD,DUNN
euclidean,3.685,0.058,0.403,1.247,1.029,0.099,0.482
canberra,3.685,0.058,0.403,1.247,1.029,0.099,0.482
minkowski,3.685,0.058,0.403,1.247,1.029,0.099,0.482
correlation,3.685,0.058,0.403,1.247,1.029,0.099,0.482
sqeuclidean,3.685,0.058,0.403,1.247,1.029,0.099,0.482
cosine,3.685,0.058,0.403,1.247,1.029,0.099,0.482
braycurtis,3.685,0.058,0.403,1.247,1.029,0.099,0.482
manhattan,3.685,0.058,0.403,1.247,1.029,0.099,0.482
chebyshev,3.685,0.058,0.403,1.247,1.029,0.099,0.482
mahalanobis,3.685,0.058,0.403,1.247,1.029,0.099,0.482
