,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.638,0.518,0.655,1.348,0.000,0.000,0.350,0.500,0.519,0.000,0.000,0.269,0.000
mahalanobis,0.638,0.518,0.655,1.348,0.000,0.000,0.350,0.500,0.519,0.000,0.000,0.269,0.000
canberra,0.638,0.518,0.655,1.348,0.000,0.000,0.350,0.500,0.519,0.000,0.000,0.269,0.000
correlation,0.638,0.519,0.654,1.347,0.001,0.001,0.350,0.500,0.519,0.001,0.001,0.269,0.001
sqeuclidean,0.638,0.520,0.654,1.345,0.001,0.001,0.351,0.501,0.520,0.002,0.001,0.270,0.002
cosine,0.638,0.518,0.655,1.348,0.000,0.000,0.350,0.500,0.519,0.000,0.000,0.269,0.000
braycurtis,0.638,0.532,0.639,1.317,0.023,0.023,0.362,0.514,0.532,0.028,0.023,0.276,0.028
euclidean,0.638,0.518,0.655,1.348,0.000,0.000,0.350,0.500,0.519,0.000,0.000,0.269,0.000
cityblock,0.638,0.518,0.655,1.348,0.000,0.000,0.350,0.500,0.519,0.000,0.000,0.269,0.000
chebyshev,0.638,0.525,0.652,1.338,0.004,0.004,0.356,0.504,0.525,0.008,0.004,0.274,0.008
