,DB,S,C,BCV,CUT,MOD,DUNN
minkowski,2.809,0.103,0.315,0.894,1.056,0.139,1.108
mahalanobis,3.017,0.092,0.337,0.905,1.050,0.138,1.084
canberra,2.810,0.103,0.315,0.894,1.056,0.139,1.114
correlation,2.873,0.099,0.322,0.897,1.054,0.139,1.108
sqeuclidean,2.828,0.101,0.318,0.899,1.055,0.139,1.014
cosine,2.809,0.103,0.315,0.894,1.056,0.139,1.119
braycurtis,3.831,0.063,0.392,0.936,1.033,0.133,1.057
euclidean,2.809,0.103,0.315,0.894,1.056,0.139,1.098
cityblock,2.809,0.103,0.315,0.894,1.056,0.139,1.089
chebyshev,2.824,0.101,0.319,0.915,1.055,0.136,0.903
