,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.239,0.202,1.600,3.201,0.001,0.001,0.112,0.677,0.202,-0.001,-0.001,0.041,-0.001
mahalanobis,0.231,0.337,1.599,1.615,0.004,0.004,0.202,0.205,0.449,0.000,0.000,0.202,0.001
canberra,0.235,0.206,1.599,3.180,0.002,0.002,0.115,0.673,0.206,0.000,0.000,0.042,0.000
correlation,0.240,0.204,1.600,3.191,0.001,0.001,0.114,0.674,0.204,-0.001,-0.001,0.042,-0.001
sqeuclidean,0.239,0.249,1.599,2.864,0.002,0.002,0.142,0.606,0.255,0.000,-0.001,0.065,0.000
cosine,0.240,0.204,1.600,3.192,0.001,0.001,0.113,0.674,0.204,-0.001,-0.001,0.042,-0.001
braycurtis,0.239,0.202,1.600,3.201,0.001,0.001,0.112,0.677,0.202,-0.001,-0.001,0.041,-0.001
euclidean,0.239,0.202,1.600,3.201,0.001,0.001,0.112,0.677,0.202,-0.001,-0.001,0.041,-0.001
cityblock,0.240,0.202,1.600,3.201,0.001,0.001,0.112,0.677,0.202,-0.001,-0.001,0.041,-0.001
chebyshev,0.241,0.207,1.600,3.173,0.002,0.002,0.116,0.670,0.207,-0.001,-0.001,0.043,-0.001
