,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.241,0.207,1.601,3.177,0.001,0.001,0.115,0.671,0.207,-0.001,-0.001,0.043,-0.001
mahalanobis,0.232,0.336,1.597,1.648,0.006,0.006,0.202,0.212,0.446,0.000,0.001,0.199,-0.002
canberra,0.287,0.220,1.568,3.116,0.022,0.022,0.124,0.678,0.220,0.017,0.019,0.045,0.017
correlation,0.242,0.204,1.601,3.191,0.001,0.001,0.114,0.674,0.204,-0.001,-0.001,0.042,-0.001
sqeuclidean,0.237,0.285,1.599,2.572,0.002,0.002,0.166,0.512,0.311,0.000,-0.001,0.097,0.000
cosine,0.242,0.204,1.601,3.192,0.001,0.001,0.114,0.674,0.204,-0.001,-0.001,0.042,-0.001
braycurtis,0.240,0.202,1.600,3.201,0.001,0.001,0.112,0.677,0.202,-0.001,-0.001,0.041,-0.001
euclidean,0.241,0.207,1.601,3.177,0.001,0.001,0.115,0.671,0.207,-0.001,-0.001,0.043,-0.001
cityblock,0.239,0.202,1.600,3.201,0.001,0.001,0.112,0.677,0.202,-0.001,-0.001,0.041,-0.001
chebyshev,0.240,0.207,1.601,3.177,0.001,0.001,0.115,0.670,0.207,-0.001,-0.001,0.043,-0.001
