,DB,S,C,BCV,CUT,MOD,DUNN
minkowski,1.242,0.295,0.133,0.672,4.312,0.150,2.457
mahalanobis,2.610,0.248,0.334,110.693,4.008,0.000,0.001
canberra,2.472,0.088,0.310,0.890,4.172,0.139,1.542
correlation,1.220,0.304,0.131,0.652,4.318,0.150,3.312
sqeuclidean,1.239,0.203,0.215,1.648,4.182,0.110,0.014
cosine,1.218,0.305,0.131,0.650,4.318,0.150,3.370
braycurtis,1.172,0.318,0.127,0.635,4.324,0.150,4.282
euclidean,1.242,0.295,0.133,0.672,4.312,0.150,2.457
cityblock,1.168,0.318,0.127,0.631,4.324,0.150,4.330
chebyshev,1.262,0.287,0.138,0.679,4.309,0.149,2.457
