,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.638,0.534,0.884,1.557,0.480,0.480,0.364,0.767,0.544,0.386,0.479,0.133,0.398
mahalanobis,0.619,0.499,0.875,1.743,0.455,0.455,0.333,0.796,0.499,0.371,0.454,0.102,0.371
canberra,0.620,0.500,0.876,1.745,0.454,0.454,0.333,0.796,0.500,0.372,0.453,0.102,0.372
correlation,0.231,0.335,1.598,1.664,0.005,0.005,0.201,0.216,0.444,-0.001,0.001,0.198,-0.003
sqeuclidean,0.615,0.511,0.925,1.607,0.457,0.457,0.343,0.747,0.523,0.351,0.456,0.132,0.366
cosine,0.231,0.337,1.599,1.612,0.004,0.004,0.203,0.205,0.449,0.000,0.000,0.202,0.002
braycurtis,0.275,0.332,1.547,1.918,0.054,0.054,0.199,0.334,0.413,0.014,0.051,0.166,0.028
euclidean,0.638,0.534,0.884,1.557,0.480,0.480,0.364,0.767,0.544,0.386,0.479,0.133,0.398
cityblock,0.662,0.557,0.832,1.570,0.495,0.495,0.386,0.801,0.559,0.430,0.494,0.125,0.433
chebyshev,0.527,0.401,1.126,1.812,0.345,0.345,0.251,0.621,0.430,0.173,0.343,0.127,0.200
