,DB,S,C,BCV,CUT,MOD,DUNN
minkowski,0.783,0.444,0.092,0.861,4.483,0.163,0.503
mahalanobis,1.174,0.433,0.125,0.459,4.516,0.161,2.952
canberra,1.170,0.433,0.125,0.471,4.517,0.161,2.881
correlation,3.567,-0.379,0.506,94.762,4.002,0.000,0.000
sqeuclidean,0.802,0.430,0.108,0.887,4.466,0.158,0.427
cosine,1.332,-0.355,0.441,968.368,4.002,0.000,0.000
braycurtis,1.764,-0.322,0.461,11.383,4.055,0.016,0.000
euclidean,0.783,0.444,0.092,0.861,4.483,0.163,0.503
cityblock,0.726,0.495,0.057,0.510,4.534,0.167,1.615
chebyshev,0.865,0.259,0.169,2.218,4.361,0.120,0.227
