,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.232,0.337,1.598,1.616,0.005,0.005,0.203,0.206,0.449,0.000,0.001,0.202,0.004
mahalanobis,0.231,0.337,1.599,1.611,0.004,0.004,0.203,0.205,0.450,0.000,0.000,0.202,0.004
canberra,0.667,0.560,0.819,1.515,0.508,0.508,0.389,0.800,0.564,0.433,0.507,0.127,0.437
correlation,0.867,0.760,0.500,0.990,0.690,0.690,0.612,0.902,0.760,0.698,0.689,0.156,0.698
sqeuclidean,0.231,0.337,1.599,1.611,0.004,0.004,0.203,0.205,0.450,0.000,0.000,0.202,0.004
cosine,0.835,0.701,0.518,1.002,0.684,0.684,0.540,0.874,0.701,0.622,0.683,0.147,0.622
braycurtis,0.853,0.734,0.498,0.980,0.693,0.693,0.580,0.890,0.734,0.665,0.692,0.151,0.665
euclidean,0.232,0.337,1.598,1.616,0.005,0.005,0.203,0.206,0.449,0.000,0.001,0.202,0.004
cityblock,0.285,0.336,1.508,1.690,0.100,0.100,0.202,0.274,0.432,0.009,0.097,0.184,0.025
chebyshev,0.241,0.334,1.591,1.773,0.013,0.013,0.201,0.246,0.436,0.002,0.009,0.189,0.008
