,DB,S,C,BCV,CUT,MOD,DUNN
minkowski,0.790,0.847,0.072,87.513,4.022,0.001,0.004
mahalanobis,0.067,0.886,0.004,118.092,4.017,0.000,0.004
canberra,7.959,-0.012,0.184,0.970,4.256,0.159,0.907
correlation,4.887,-0.096,0.238,0.932,4.145,0.139,1.228
sqeuclidean,0.067,0.886,0.004,118.092,4.017,0.000,0.004
cosine,4.914,-0.125,0.301,1.234,4.154,0.133,0.630
braycurtis,5.657,-0.051,0.276,1.089,4.229,0.143,0.733
euclidean,0.790,0.847,0.072,87.513,4.022,0.001,0.004
cityblock,2.799,0.460,0.566,20.511,4.062,0.017,0.018
chebyshev,5.084,0.809,0.024,6.673,4.182,0.046,0.008
