,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.240,0.202,1.601,3.199,0.001,0.001,0.113,0.676,0.202,-0.001,-0.001,0.041,-0.001
mahalanobis,0.238,0.251,1.601,2.930,0.001,0.001,0.143,0.600,0.258,-0.001,-0.002,0.067,-0.001
canberra,0.235,0.312,1.601,2.193,0.001,0.001,0.185,0.389,0.372,-0.001,-0.001,0.139,-0.002
correlation,0.240,0.202,1.600,3.200,0.001,0.001,0.113,0.677,0.202,0.000,-0.001,0.041,0.000
sqeuclidean,0.240,0.203,1.600,3.195,0.001,0.001,0.113,0.675,0.203,-0.001,-0.001,0.041,-0.001
cosine,0.240,0.202,1.600,3.200,0.001,0.001,0.112,0.677,0.202,0.000,-0.001,0.041,0.000
braycurtis,0.240,0.215,1.599,3.132,0.002,0.002,0.121,0.660,0.216,0.000,0.000,0.047,0.000
euclidean,0.240,0.202,1.601,3.199,0.001,0.001,0.113,0.676,0.202,-0.001,-0.001,0.041,-0.001
cityblock,0.240,0.203,1.601,3.196,0.001,0.001,0.113,0.675,0.203,-0.001,-0.001,0.041,-0.001
chebyshev,0.241,0.202,1.600,3.201,0.001,0.001,0.112,0.677,0.202,0.000,-0.001,0.041,0.000
