,DB,S,C,BCV,CUT,MOD,DUNN
minkowski,1.087,0.345,0.115,0.594,4.359,0.153,4.549
mahalanobis,1.706,0.110,0.249,1.340,4.201,0.128,0.335
canberra,5.810,-0.107,0.623,4.917,2.025,0.032,0.075
correlation,1.086,0.346,0.117,0.592,4.359,0.153,4.407
sqeuclidean,1.092,0.336,0.125,0.621,4.350,0.152,3.503
cosine,1.087,0.346,0.116,0.592,4.359,0.153,4.479
braycurtis,36.538,-0.036,0.443,1.122,4.009,0.128,1.009
euclidean,1.087,0.345,0.115,0.593,4.359,0.153,4.549
cityblock,1.095,0.338,0.117,0.599,4.357,0.152,3.894
chebyshev,1.099,0.341,0.119,0.599,4.356,0.152,4.573
