,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.240,0.202,1.600,3.200,0.001,0.001,0.113,0.676,0.202,-0.001,-0.001,0.041,-0.001
mahalanobis,0.525,0.467,1.130,1.839,0.339,0.339,0.304,0.705,0.484,0.282,0.337,0.129,0.302
canberra,0.243,0.273,1.598,2.586,0.003,0.003,0.158,0.555,0.290,0.003,0.002,0.084,0.003
correlation,0.240,0.202,1.600,3.200,0.001,0.001,0.112,0.677,0.202,-0.001,-0.001,0.041,-0.001
sqeuclidean,0.242,0.203,1.600,3.197,0.001,0.001,0.113,0.676,0.203,0.000,-0.001,0.041,0.000
cosine,0.240,0.202,1.600,3.200,0.001,0.001,0.112,0.677,0.202,-0.001,-0.001,0.041,-0.001
braycurtis,0.235,0.221,1.601,3.041,0.001,0.001,0.124,0.652,0.222,-0.001,-0.002,0.049,-0.001
euclidean,0.240,0.202,1.600,3.200,0.001,0.001,0.113,0.676,0.202,-0.001,-0.001,0.041,-0.001
cityblock,0.241,0.203,1.601,3.197,0.001,0.001,0.113,0.676,0.203,-0.001,-0.001,0.041,-0.001
chebyshev,0.241,0.202,1.600,3.201,0.001,0.001,0.112,0.677,0.202,-0.001,-0.001,0.041,-0.001
