,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.861,0.750,0.519,1.044,0.675,0.675,0.600,0.899,0.750,0.687,0.674,0.151,0.687
mahalanobis,0.858,0.746,0.526,1.060,0.670,0.670,0.595,0.898,0.746,0.682,0.669,0.150,0.682
canberra,0.863,0.754,0.514,1.034,0.678,0.678,0.605,0.901,0.754,0.691,0.677,0.152,0.691
correlation,0.858,0.746,0.548,1.099,0.657,0.657,0.594,0.897,0.746,0.681,0.657,0.150,0.681
sqeuclidean,0.849,0.730,0.542,1.084,0.662,0.662,0.575,0.891,0.730,0.661,0.661,0.148,0.661
cosine,0.860,0.748,0.526,1.058,0.670,0.670,0.598,0.899,0.748,0.685,0.670,0.151,0.685
braycurtis,0.454,0.415,1.189,1.968,0.296,0.296,0.262,0.648,0.439,0.200,0.294,0.125,0.223
euclidean,0.861,0.751,0.518,1.042,0.675,0.675,0.601,0.900,0.751,0.688,0.675,0.151,0.688
cityblock,0.864,0.756,0.510,1.026,0.680,0.680,0.607,0.902,0.756,0.694,0.680,0.152,0.694
chebyshev,0.862,0.752,0.511,1.028,0.680,0.680,0.603,0.900,0.752,0.690,0.679,0.151,0.690
