,DB,S,C,BCV,CUT,MOD,DUNN
minkowski,0.540,0.619,0.021,0.308,4.641,0.173,10.420
mahalanobis,0.540,0.618,0.021,0.308,4.641,0.173,10.281
canberra,0.537,0.613,0.024,0.311,4.638,0.173,10.664
correlation,0.542,0.604,0.028,0.318,4.632,0.173,8.751
sqeuclidean,0.598,0.591,0.036,0.332,4.626,0.172,6.847
cosine,0.533,0.618,0.021,0.308,4.641,0.173,10.783
braycurtis,8.457,0.062,0.429,1.809,4.191,0.116,0.092
euclidean,0.540,0.619,0.021,0.308,4.641,0.173,10.338
cityblock,0.542,0.618,0.021,0.309,4.641,0.173,10.008
chebyshev,0.543,0.618,0.021,0.309,4.641,0.173,10.151
