,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.670,0.490,0.824,1.341,0.537,0.537,0.324,0.715,0.509,0.312,0.536,0.137,0.336
mahalanobis,0.298,0.312,1.493,2.187,0.091,0.091,0.185,0.496,0.349,0.027,0.088,0.114,0.035
canberra,0.313,0.309,1.536,2.357,0.053,0.053,0.183,0.540,0.336,0.038,0.051,0.103,0.045
correlation,0.942,0.892,0.268,0.536,0.833,0.833,0.806,0.956,0.892,0.865,0.832,0.181,0.865
sqeuclidean,0.397,0.354,1.301,1.670,0.265,0.265,0.215,0.419,0.424,0.059,0.263,0.159,0.098
cosine,0.948,0.902,0.242,0.484,0.849,0.849,0.822,0.960,0.902,0.877,0.849,0.183,0.877
braycurtis,0.249,0.216,1.586,3.130,0.010,0.010,0.121,0.667,0.216,0.005,0.008,0.046,0.005
euclidean,0.670,0.545,0.794,1.248,0.564,0.564,0.374,0.743,0.567,0.385,0.563,0.153,0.416
cityblock,0.707,0.619,0.663,1.256,0.599,0.599,0.449,0.837,0.620,0.516,0.598,0.133,0.517
chebyshev,0.596,0.430,1.082,2.139,0.327,0.327,0.274,0.764,0.430,0.281,0.325,0.089,0.281
