,DB,S,C,BCV,CUT,MOD,DUNN
minkowski,1.092,0.318,0.147,0.715,4.379,0.152,1.492
mahalanobis,0.871,0.016,0.405,5.046,4.089,0.039,0.002
canberra,1.061,0.361,0.144,0.708,4.378,0.155,1.359
correlation,0.953,0.409,0.125,0.677,4.402,0.157,1.690
sqeuclidean,0.719,0.290,0.169,6.587,4.201,0.066,0.017
cosine,0.953,0.409,0.125,0.652,4.402,0.157,1.690
braycurtis,0.952,0.410,0.125,0.637,4.403,0.157,1.661
euclidean,1.092,0.318,0.147,0.715,4.379,0.152,1.492
cityblock,0.983,0.375,0.135,0.795,4.380,0.151,1.026
chebyshev,1.111,0.342,0.154,0.710,4.379,0.153,1.441
