,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.360,0.232,1.527,3.054,0.004,0.004,0.131,0.641,0.232,-0.002,-0.003,0.054,-0.002
mahalanobis,0.361,0.356,1.525,1.908,0.008,0.008,0.216,0.340,0.424,-0.008,-0.002,0.182,-0.015
canberra,0.643,0.440,0.993,1.999,0.351,0.351,0.282,0.744,0.440,0.274,0.346,0.101,0.274
correlation,0.360,0.232,1.527,3.054,0.004,0.004,0.131,0.641,0.232,-0.002,-0.003,0.054,-0.002
sqeuclidean,0.362,0.273,1.523,2.743,0.007,0.007,0.158,0.598,0.276,0.004,-0.001,0.075,0.004
cosine,0.360,0.232,1.527,3.054,0.004,0.004,0.131,0.641,0.232,-0.002,-0.003,0.054,-0.002
braycurtis,0.360,0.232,1.526,3.052,0.004,0.004,0.131,0.641,0.232,-0.003,-0.003,0.054,-0.003
euclidean,0.360,0.232,1.527,3.054,0.004,0.004,0.131,0.641,0.232,-0.002,-0.003,0.054,-0.002
cityblock,0.360,0.232,1.527,3.054,0.004,0.004,0.131,0.641,0.232,-0.002,-0.003,0.054,-0.002
chebyshev,0.360,0.228,1.525,3.048,0.005,0.005,0.129,0.640,0.228,-0.006,-0.002,0.053,-0.006
