,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.459,0.361,1.217,2.442,0.205,0.205,0.220,0.704,0.361,0.169,0.200,0.084,0.169
mahalanobis,0.430,0.343,1.245,2.366,0.195,0.195,0.207,0.655,0.345,0.113,0.189,0.090,0.114
canberra,0.436,0.333,1.190,2.442,0.219,0.219,0.200,0.708,0.334,0.147,0.214,0.073,0.148
correlation,0.360,0.369,1.524,1.650,0.010,0.010,0.226,0.258,0.462,-0.009,0.007,0.217,-0.032
sqeuclidean,0.457,0.371,1.245,2.436,0.191,0.191,0.228,0.693,0.371,0.168,0.185,0.091,0.168
cosine,0.361,0.376,1.528,1.647,0.006,0.006,0.232,0.263,0.472,0.002,0.002,0.222,0.009
braycurtis,0.440,0.361,1.352,2.272,0.137,0.137,0.220,0.554,0.382,0.073,0.130,0.126,0.083
euclidean,0.459,0.361,1.217,2.442,0.205,0.205,0.220,0.704,0.361,0.169,0.200,0.084,0.169
cityblock,0.457,0.371,1.245,2.436,0.191,0.191,0.228,0.693,0.371,0.168,0.185,0.091,0.168
chebyshev,0.453,0.361,1.320,2.410,0.150,0.150,0.220,0.623,0.369,0.110,0.143,0.107,0.115
