,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.364,0.378,1.524,1.556,0.011,0.011,0.233,0.240,0.481,0.001,0.000,0.231,0.004
mahalanobis,0.364,0.378,1.524,1.556,0.011,0.011,0.233,0.240,0.481,0.001,0.000,0.231,0.004
canberra,0.531,0.367,1.109,2.206,0.277,0.277,0.225,0.703,0.367,0.173,0.272,0.086,0.173
correlation,0.834,0.700,0.574,1.021,0.653,0.653,0.538,0.840,0.705,0.593,0.650,0.187,0.602
sqeuclidean,0.364,0.378,1.524,1.556,0.011,0.011,0.233,0.240,0.481,0.001,0.000,0.231,0.004
cosine,0.859,0.734,0.513,0.920,0.689,0.689,0.579,0.861,0.738,0.641,0.687,0.192,0.648
braycurtis,0.710,0.545,0.750,1.366,0.534,0.534,0.375,0.764,0.548,0.388,0.531,0.142,0.391
euclidean,0.364,0.378,1.524,1.556,0.011,0.011,0.233,0.240,0.481,0.001,0.000,0.231,0.004
cityblock,0.425,0.376,1.400,1.656,0.138,0.138,0.231,0.327,0.456,0.016,0.127,0.203,0.035
chebyshev,0.362,0.359,1.511,1.964,0.022,0.022,0.219,0.369,0.422,0.005,0.011,0.177,0.008
