,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.360,0.248,1.524,2.938,0.006,0.006,0.142,0.609,0.249,-0.013,-0.001,0.065,-0.013
mahalanobis,0.361,0.322,1.525,2.343,0.007,0.007,0.192,0.485,0.348,-0.003,-0.003,0.122,-0.003
canberra,0.360,0.280,1.523,2.607,0.008,0.008,0.163,0.591,0.285,0.007,0.003,0.080,0.007
correlation,0.360,0.217,1.522,3.102,0.006,0.006,0.122,0.655,0.217,-0.003,-0.001,0.048,-0.003
sqeuclidean,0.360,0.244,1.527,2.986,0.004,0.004,0.139,0.624,0.244,-0.005,-0.003,0.061,-0.005
cosine,0.360,0.222,1.523,3.083,0.006,0.006,0.125,0.651,0.222,-0.002,-0.001,0.050,-0.002
braycurtis,0.360,0.243,1.521,2.996,0.008,0.008,0.138,0.635,0.243,0.003,0.000,0.059,0.003
euclidean,0.360,0.249,1.524,2.933,0.006,0.006,0.142,0.608,0.250,-0.013,-0.001,0.065,-0.013
cityblock,0.360,0.248,1.524,2.941,0.006,0.006,0.141,0.611,0.249,-0.012,-0.002,0.064,-0.012
chebyshev,0.360,0.240,1.522,2.990,0.007,0.007,0.137,0.624,0.241,-0.009,-0.001,0.059,-0.009
