,DB,S,C,BCV,CUT,MOD,DUNN
minkowski,0.927,0.363,0.102,0.808,4.401,0.153,0.841
mahalanobis,2.539,0.003,0.357,9.000,4.086,0.104,0.005
canberra,5.693,-0.045,0.449,0.976,2.058,0.152,1.170
correlation,1.096,0.306,0.131,0.555,4.418,0.156,3.975
sqeuclidean,1.094,0.310,0.116,0.833,4.388,0.153,1.234
cosine,1.046,0.356,0.134,0.568,4.406,0.157,2.842
braycurtis,26.359,-0.055,0.458,1.410,4.007,0.128,0.533
euclidean,0.926,0.361,0.114,0.932,4.399,0.152,0.745
cityblock,0.934,0.361,0.108,0.900,4.400,0.153,0.801
chebyshev,0.977,0.345,0.102,0.678,4.399,0.154,1.361
