,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.360,0.250,1.524,2.929,0.006,0.006,0.143,0.605,0.252,-0.013,-0.002,0.066,-0.014
mahalanobis,0.366,0.318,1.481,2.449,0.041,0.041,0.189,0.560,0.330,0.028,0.032,0.102,0.031
canberra,0.360,0.286,1.523,2.550,0.007,0.007,0.167,0.562,0.295,-0.004,0.001,0.088,-0.005
correlation,0.360,0.232,1.527,3.053,0.004,0.004,0.131,0.641,0.232,-0.003,-0.003,0.054,-0.003
sqeuclidean,0.360,0.226,1.522,3.052,0.007,0.007,0.127,0.642,0.226,-0.007,0.000,0.052,-0.007
cosine,0.360,0.224,1.526,3.086,0.004,0.004,0.126,0.651,0.224,-0.001,-0.003,0.050,-0.001
braycurtis,0.360,0.229,1.521,3.059,0.008,0.008,0.129,0.646,0.229,-0.001,0.001,0.052,-0.001
euclidean,0.360,0.251,1.524,2.923,0.006,0.006,0.143,0.604,0.253,-0.014,-0.001,0.066,-0.014
cityblock,0.360,0.247,1.524,2.948,0.006,0.006,0.141,0.611,0.248,-0.012,-0.001,0.064,-0.012
chebyshev,0.360,0.243,1.521,2.969,0.008,0.008,0.138,0.618,0.244,-0.010,0.001,0.061,-0.010
