,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.799,0.682,0.578,0.918,0.675,0.675,0.517,0.814,0.696,0.558,0.673,0.199,0.581
mahalanobis,0.399,0.367,1.422,1.671,0.117,0.117,0.224,0.307,0.447,-0.001,0.105,0.200,-0.003
canberra,0.383,0.334,1.460,2.237,0.061,0.061,0.201,0.536,0.354,0.034,0.054,0.117,0.039
correlation,0.950,0.900,0.217,0.456,0.852,0.852,0.819,0.954,0.901,0.871,0.851,0.206,0.871
sqeuclidean,0.514,0.397,1.170,1.890,0.277,0.277,0.248,0.622,0.411,0.147,0.271,0.125,0.158
cosine,0.963,0.922,0.161,0.339,0.890,0.890,0.856,0.964,0.923,0.899,0.889,0.212,0.899
braycurtis,0.360,0.264,1.522,2.852,0.007,0.007,0.152,0.607,0.266,0.001,-0.001,0.070,0.001
euclidean,0.782,0.778,0.492,0.817,0.718,0.718,0.637,0.886,0.782,0.703,0.716,0.200,0.708
cityblock,0.852,0.717,0.481,0.805,0.723,0.723,0.559,0.845,0.725,0.613,0.721,0.197,0.626
chebyshev,0.471,0.305,1.280,2.627,0.161,0.161,0.180,0.697,0.306,0.113,0.155,0.067,0.113
